Price Each,Quantity Ordered,Total_Revenue,Product_Category
1700.0,1.0,1700.0,Laptops
600.0,1.0,600.0,Electronics
11.95,1.0,11.95,Accessories
149.99,1.0,149.99,Displays
11.95,1.0,11.95,Accessories
3.84,1.0,3.84,Power
11.95,1.0,11.95,Accessories
11.95,2.0,23.9,Accessories
99.99,1.0,99.99,Smartphones
2.99,4.0,11.96,Power
11.95,2.0,23.9,Accessories
999.99,1.0,999.99,Laptops
3.84,2.0,7.68,Power
2.99,2.0,5.98,Power
11.95,1.0,11.95,Accessories
14.95,1.0,14.95,Accessories
600.0,1.0,600.0,Smartphones
11.95,1.0,11.95,Accessories
99.99,1.0,99.99,Smartphones
11.99,1.0,11.99,Smartphones
11.95,1.0,11.95,Accessories
11.99,1.0,11.99,Smartphones
2.99,4.0,11.96,Power
11.99,1.0,11.99,Smartphones
11.95,1.0,11.95,Accessories
150.0,1.0,150.0,Smartphones
150.0,1.0,150.0,Smartphones
600.0,1.0,600.0,Electronics
150.0,1.0,150.0,Smartphones
99.99,1.0,99.99,Smartphones
3.84,2.0,7.68,Power
11.99,1.0,11.99,Smartphones
14.95,1.0,14.95,Accessories
14.95,1.0,14.95,Accessories
14.95,1.0,14.95,Accessories
999.99,1.0,999.99,Laptops
400.0,1.0,400.0,Smartphones
11.95,2.0,23.9,Accessories
3.84,1.0,3.84,Power
99.99,1.0,99.99,Smartphones
99.99,1.0,99.99,Smartphones
11.99,2.0,23.98,Smartphones
3.84,1.0,3.84,Power
99.99,1.0,99.99,Smartphones
11.99,1.0,11.99,Smartphones
11.99,1.0,11.99,Smartphones
2.99,3.0,8.97,Power
14.95,1.0,14.95,Accessories
149.99,1.0,149.99,Displays
99.99,1.0,99.99,Smartphones
2.99,1.0,2.99,Power
2.99,2.0,5.98,Power
1700.0,1.0,1700.0,Laptops
99.99,1.0,99.99,Smartphones
700.0,1.0,700.0,Smartphones
11.95,2.0,23.9,Accessories
109.99,1.0,109.99,Displays
1700.0,1.0,1700.0,Laptops
14.95,1.0,14.95,Accessories
149.99,1.0,149.99,Displays
3.84,1.0,3.84,Power
379.99,1.0,379.99,Displays
11.99,1.0,11.99,Smartphones
3.84,1.0,3.84,Power
3.84,2.0,7.68,Power
2.99,3.0,8.97,Power
700.0,1.0,700.0,Smartphones
14.95,1.0,14.95,Accessories
99.99,1.0,99.99,Smartphones
149.99,1.0,149.99,Displays
379.99,1.0,379.99,Displays
379.99,1.0,379.99,Displays
11.95,1.0,11.95,Accessories
150.0,1.0,150.0,Smartphones
149.99,1.0,149.99,Displays
2.99,1.0,2.99,Power
700.0,1.0,700.0,Smartphones
150.0,1.0,150.0,Smartphones
11.99,1.0,11.99,Smartphones
11.95,2.0,23.9,Accessories
700.0,1.0,700.0,Smartphones
14.95,1.0,14.95,Accessories
2.99,1.0,2.99,Power
11.95,1.0,11.95,Accessories
11.95,1.0,11.95,Accessories
150.0,1.0,150.0,Smartphones
150.0,1.0,150.0,Smartphones
11.95,1.0,11.95,Accessories
3.84,2.0,7.68,Power
300.0,1.0,300.0,Displays
149.99,1.0,149.99,Displays
3.84,3.0,11.52,Power
11.99,1.0,11.99,Smartphones
11.99,2.0,23.98,Smartphones
99.99,1.0,99.99,Smartphones
2.99,1.0,2.99,Power
600.0,1.0,600.0,Smartphones
379.99,1.0,379.99,Displays
14.95,1.0,14.95,Accessories
14.95,1.0,14.95,Accessories
150.0,1.0,150.0,Smartphones
379.99,1.0,379.99,Displays
3.84,1.0,3.84,Power
11.99,1.0,11.99,Smartphones
99.99,1.0,99.99,Smartphones
11.99,1.0,11.99,Smartphones
99.99,1.0,99.99,Smartphones
14.95,1.0,14.95,Accessories
700.0,1.0,700.0,Smartphones
149.99,1.0,149.99,Displays
14.95,1.0,14.95,Accessories
11.99,1.0,11.99,Smartphones
14.95,1.0,14.95,Accessories
2.99,1.0,2.99,Power
2.99,2.0,5.98,Power
99.99,1.0,99.99,Smartphones
99.99,1.0,99.99,Smartphones
2.99,1.0,2.99,Power
14.95,1.0,14.95,Accessories
150.0,1.0,150.0,Smartphones
99.99,1.0,99.99,Smartphones
600.0,1.0,600.0,Smartphones
11.95,1.0,11.95,Accessories
2.99,1.0,2.99,Power
3.84,1.0,3.84,Power
11.99,1.0,11.99,Smartphones
11.95,1.0,11.95,Accessories
11.95,1.0,11.95,Accessories
379.99,1.0,379.99,Displays
400.0,1.0,400.0,Smartphones
11.95,1.0,11.95,Accessories
11.95,1.0,11.95,Accessories
99.99,1.0,99.99,Smartphones
11.95,1.0,11.95,Accessories
150.0,1.0,150.0,Smartphones
11.95,1.0,11.95,Accessories
3.84,1.0,3.84,Power
14.95,1.0,14.95,Accessories
14.95,1.0,14.95,Accessories
11.95,1.0,11.95,Accessories
14.95,1.0,14.95,Accessories
600.0,1.0,600.0,Smartphones
11.95,1.0,11.95,Accessories
389.99,1.0,389.99,Displays
150.0,1.0,150.0,Smartphones
14.95,1.0,14.95,Accessories
11.99,1.0,11.99,Smartphones
11.99,1.0,11.99,Smartphones
2.99,1.0,2.99,Power
